127.0.0.1, 2017-05-10 16:22:24, GET, /, HTTP/1.1, 303, 0.001886
127.0.0.1, 2017-05-10 16:22:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.705112
127.0.0.1, 2017-05-10 16:22:24, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000292
127.0.0.1, 2017-05-10 16:22:24, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000200
127.0.0.1, 2017-05-10 16:22:24, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000728
127.0.0.1, 2017-05-10 16:22:24, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000601
127.0.0.1, 2017-05-10 16:22:24, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000484
127.0.0.1, 2017-05-10 16:22:24, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000445
127.0.0.1, 2017-05-10 16:22:24, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001050
127.0.0.1, 2017-05-10 16:22:24, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001227
127.0.0.1, 2017-05-10 16:22:25, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001322
127.0.0.1, 2017-05-10 16:22:25, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001203
127.0.0.1, 2017-05-10 16:22:25, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000804
127.0.0.1, 2017-05-10 16:22:25, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000256
127.0.0.1, 2017-05-10 16:22:25, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000248
127.0.0.1, 2017-05-10 16:22:25, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000286
127.0.0.1, 2017-05-10 16:22:25, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000434
127.0.0.1, 2017-05-10 16:22:25, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000872
127.0.0.1, 2017-05-10 16:22:29, GET, /admin/default/site, HTTP/1.1, 303, 0.051850
127.0.0.1, 2017-05-10 16:22:29, GET, /admin/default/index, HTTP/1.1, 200, 0.022336
127.0.0.1, 2017-05-10 16:22:29, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000295
127.0.0.1, 2017-05-10 16:22:29, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000451
127.0.0.1, 2017-05-10 16:22:29, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000662
127.0.0.1, 2017-05-10 16:22:29, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.001613
127.0.0.1, 2017-05-10 16:22:29, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001149
127.0.0.1, 2017-05-10 16:22:29, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000877
127.0.0.1, 2017-05-10 16:22:29, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000339
127.0.0.1, 2017-05-10 16:22:29, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001096
127.0.0.1, 2017-05-10 16:22:29, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002227
127.0.0.1, 2017-05-10 16:22:29, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.002193
127.0.0.1, 2017-05-10 16:22:29, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004057
127.0.0.1, 2017-05-10 16:22:30, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000778
127.0.0.1, 2017-05-10 16:22:30, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000525
127.0.0.1, 2017-05-10 16:22:30, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000389
127.0.0.1, 2017-05-10 16:22:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000184
127.0.0.1, 2017-05-10 16:22:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000181
